$ gw attempt list
ATTEMPT            TASK           ENGINE  ROLE       STATE      SUB  NOEND  LEASE      TOKENS      SPEND      AGE
at-ship-done       ship-0-3       codex   impl       done       -    -      -          1.2k/300    $0.34      8h45
at-pty-impl        pty-lifecycle  codex   impl       running    3    1      ls-pty du  7.5k/1.6k   $0.09 +1u  7h50
at-pty-review      pty-lifecycle  claude  rev        blocked    -    -      -          1.8k/250    $0.13      7h42
at-pty-start       pty-lifecycle  claude  rsrch      starting   -    -      -          -           -          6h55
at-tui-impl        tui-harness    claude  impl       running    2    1      ls-tui u   15.0k/3.7k  $2.10      7h30
at-tui-queue       tui-harness    codex   rust-pro   queued     -    -      -          300/0       $0.01      7h23
at-release-lease   release-notes  codex   devrel     leased     -    -      -          -           -          8h15
at-flaky-cancel    flaky-ci       claude  test-auto  canceling  -    1      -          2.2k/400    +1u        5h30
at-flaky-canceled  flaky-ci       claude  -          canceled   -    -      -          -           -          6h30
at-audit-fail      audit-log      claude  audit      failed     -    -      -          9.0k/2.2k   $2.45      5h25
at-audit-unknown   audit-log      codex   -          unknown    -    -      -          1.5k/0      $0.19      5h20
11 rows · watermark 221
