$ gw attempt list
ATTEMPT            TASK           ENGINE  ROLE       STATE      SPEND      AGE
at-ship-done       ship-0-3       codex   impl       done       $0.34      8h45
at-pty-impl        pty-lifecycle  codex   impl       running    $0.09 +1u  7h50
at-pty-review      pty-lifecycle  claude  rev        blocked    $0.13      7h42
at-pty-start       pty-lifecycle  claude  rsrch      starting   -          6h55
at-tui-impl        tui-harness    claude  impl       running    $2.10      7h30
at-tui-queue       tui-harness    codex   rust-pro   queued     $0.01      7h23
at-release-lease   release-notes  codex   devrel     leased     -          8h15
at-flaky-cancel    flaky-ci       claude  test-auto  canceling  +1u        5h30
at-flaky-canceled  flaky-ci       claude  -          canceled   -          6h30
at-audit-fail      audit-log      claude  audit      failed     $2.45      5h25
at-audit-unknown   audit-log      codex   -          unknown    $0.19      5h20
11 rows · watermark 221
